date,mask_wearing_final
2021-05-07,93.1878962
2021-05-08,93.2333115
2021-05-09,94.1026165
2021-05-10,93.4956577
2021-05-11,93.2392405
2021-05-12,92.9153943
2021-05-13,92.3781387
2021-05-14,93.2265842
2021-05-15,92.2483755
2021-05-16,92.0565353
2021-05-17,91.7635818
2021-05-18,91.1895489
2021-05-19,91.0506597
2021-05-20,90.873965
2021-05-21,90.0507883
2021-05-22,89.8093336
2021-05-23,89.4024342
2021-05-24,88.8850113
2021-05-25,87.3290297
2021-05-26,85.9558794
2021-05-27,85.8434412
2021-05-28,85.3285776
2021-05-29,84.8472437
2021-05-30,83.369976
2021-05-31,82.2996422
2021-06-01,82.2778844
2021-06-02,82.3295111
2021-06-03,81.6744498
2021-06-04,81.411016
2021-06-05,81.5402141
2021-06-06,81.4858912
2021-06-07,82.4950779
2021-06-08,82.541634
2021-06-09,82.4763265
2021-06-10,82.478137
2021-06-11,81.5557545
2021-06-12,80.1869896
2021-06-13,79.725022
2021-06-14,79.0911354
2021-06-15,79.5205527
2021-06-16,78.1079634
2021-06-17,76.9464123
2021-06-18,77.1031751
2021-06-19,75.8146284
2021-06-20,74.0041798
2021-06-21,70.975526
2021-06-22,69.2464042
2021-06-23,69.0929168
2021-06-24,69.6427446
2021-06-25,67.7929148
2021-06-26,67.4382694
2021-06-27,68.2519109
2021-06-28,68.6257284
2021-06-29,70.1182614
2021-06-30,69.0123385
2021-07-01,66.4020016
2021-07-02,66.4763888
2021-07-03,65.0929789
2021-07-04,63.31171
2021-07-05,63.2408448
2021-07-06,60.2990305
2021-07-07,58.4452439
2021-07-08,57.6433331
2021-07-09,55.4311011
2021-07-10,55.6084535
2021-07-11,54.5116596
2021-07-12,53.5751926
2021-07-13,52.9301131
2021-07-14,52.6622058
2021-07-15,53.0128847
2021-07-16,52.6225646
2021-07-17,51.5777882
2021-07-18,50.1390296
2021-07-19,48.955685
2021-07-20,47.9991444
2021-07-21,49.8634611
2021-07-22,48.0331585
2021-07-23,47.782269
2021-07-24,49.0744243
2021-07-25,51.0294717
2021-07-26,50.6095624
2021-07-27,51.1265659
2021-07-28,50.4683515
2021-07-29,51.0345752
2021-07-30,52.5038584
2021-07-31,53.6035108
2021-08-01,55.5994149
2021-08-02,57.1100103
2021-08-03,57.0486757
2021-08-04,58.3908217
2021-08-05,60.7961524
2021-08-06,59.7391236
2021-08-07,60.5479046
2021-08-08,60.6402251
2021-08-09,62.9091958
2021-08-10,65.5736336
2021-08-11,65.1692732
2021-08-12,64.7599502
2021-08-13,68.0149764
2021-08-14,68.2129257
2021-08-15,68.2432383
2021-08-16,68.2253999
2021-08-17,67.5821965
2021-08-18,67.8436937
2021-08-19,68.2742524
2021-08-20,68.6671678
2021-08-21,68.9615009
2021-08-22,70.5222821
2021-08-23,71.4051433
2021-08-24,73.6950271
2021-08-25,75.8078523
2021-08-26,78.0611945
2021-08-27,78.7051947
2021-08-28,79.4826941
2021-08-29,80.9189226
2021-08-30,82.6993157
2021-08-31,83.6562818
2021-09-01,84.6989475
2021-09-02,84.8499233
2021-09-03,85.6440023
2021-09-04,85.8656971
2021-09-05,85.5607022
2021-09-06,84.9887391
2021-09-07,84.7260395
2021-09-08,85.1268841
2021-09-09,85.1036193
2021-09-10,84.9953615
2021-09-11,86.203814499999993
2021-09-12,86.4049424
2021-09-13,86.6608175
2021-09-14,87.1158275
2021-09-15,86.7774823
2021-09-16,87.4907722
2021-09-17,87.5812098
2021-09-18,87.0460227
2021-09-19,86.9360703
2021-09-20,86.9052114
2021-09-21,86.3579761
2021-09-22,86.6489475
2021-09-23,86.0641446
2021-09-24,86.4132952
2021-09-25,84.691778
2021-09-26,84.8522266
2021-09-27,85.7081292
2021-09-28,86.3945003
2021-09-29,86.1969279
2021-09-30,87.2849158
2021-10-01,87.26898
2021-10-02,87.8624908
2021-10-03,88.9279912
2021-10-04,88.9191371
2021-10-05,89.4360228
2021-10-06,89.3138464
2021-10-07,88.7082057
2021-10-08,88.0396064
2021-10-09,89.6801859
2021-10-10,89.064683
2021-10-11,87.8646942
2021-10-12,87.5456099
2021-10-13,87.7247665
2021-10-14,88.0771291
2021-10-15,88.8262047
2021-10-16,88.7868745
2021-10-17,87.3820162
2021-10-18,88.319489
2021-10-19,88.3750357
2021-10-20,88.3426884
2021-10-21,88.041154
2021-10-22,87.6882237
2021-10-23,87.4549504
2021-10-24,87.499882
2021-10-25,86.7825793
2021-10-26,85.2096533
2021-10-27,85.5473646
2021-10-28,85.1850413
2021-10-29,86.0379384
2021-10-30,85.6822316
2021-10-31,86.9441573
2021-11-01,87.4489203
2021-11-02,88.4336725
2021-11-03,88.435373
2021-11-04,89.7201625
2021-11-05,89.2872915
2021-11-06,88.347184
2021-11-07,88.2211983
2021-11-08,88.6163289
2021-11-09,89.2808849
2021-11-10,89.1414678
2021-11-11,88.6308301
2021-11-12,88.3228684
2021-11-13,89.2983679
2021-11-14,89.6097267
2021-11-15,89.2165796
2021-11-16,88.5938899
2021-11-17,88.9010787
2021-11-18,89.2975339
2021-11-19,90.1539348
2021-11-20,90.9845957
2021-11-21,90.8282837
2021-11-22,90.6386275
2021-11-23,91.3681257
2021-11-24,91.4246003
2021-11-25,90.88185
2021-11-26,91.4547041
2021-11-27,91.4371024
2021-11-28,90.7084166
2021-11-29,90.6753638
2021-11-30,90.3679834
2021-12-01,90.5020374
2021-12-02,89.4196517
2021-12-03,88.7246097
2021-12-04,88.7360655
2021-12-05,87.6721029
2021-12-06,87.5985611
2021-12-07,87.9197032
2021-12-08,88.39462
2021-12-09,88.7536994
2021-12-10,88.8298258
2021-12-11,88.2043191
2021-12-12,90.4060419
2021-12-13,90.3566581
2021-12-14,90.3425023
2021-12-15,89.1649315
2021-12-16,88.7525356
2021-12-17,88.4712512
2021-12-18,87.5924213
2021-12-19,87.2436566
2021-12-20,87.7129768
2021-12-21,88.1246866
2021-12-22,88.474726
2021-12-23,89.6170859
2021-12-24,90.1930565
2021-12-25,91.969922
2021-12-26,92.7308166
2021-12-27,92.0840813
2021-12-28,91.7489044
2021-12-29,92.3644994
2021-12-30,92.9523232
2021-12-31,93.244918
2022-01-01,93.2855968
2022-01-02,93.0577801
2022-01-03,93.9073347
2022-01-04,94.1706997
2022-01-05,94.263171
2022-01-06,93.3412255
2022-01-07,92.4917411
2022-01-08,93.1292959
2022-01-09,93.062581
2022-01-10,92.3290443
2022-01-11,91.4141483
2022-01-12,91.6022955
2022-01-13,91.9806845
2022-01-14,92.6952116
2022-01-15,91.9218372
2022-01-16,92.3127129
2022-01-17,92.9958356
2022-01-18,92.8751232
2022-01-19,92.3111619
2022-01-20,92.4472142
2022-01-21,92.414834
2022-01-22,92.0399287
2022-01-23,91.1049259
2022-01-24,90.7266166
2022-01-25,91.9056304
2022-01-26,92.5409312
2022-01-27,91.8440095
2022-01-28,92.0719786
2022-01-29,92.3612271
2022-01-30,93.0325583
2022-01-31,92.9826073
2022-02-01,93.0740877
2022-02-02,92.2953517
2022-02-03,93.0226055
2022-02-04,92.2186298
2022-02-05,92.3145262
2022-02-06,91.4101467
2022-02-07,91.7395559
2022-02-08,90.5632833
2022-02-09,91.1779091
2022-02-10,89.3324442
2022-02-11,88.8623157
2022-02-12,88.3825007
2022-02-13,88.8811155
2022-02-14,88.3233931
2022-02-15,88.1452165
2022-02-16,87.6898104
2022-02-17,89.2627689
2022-02-18,89.9861081
2022-02-19,89.6588289
2022-02-20,87.8541536
2022-02-21,86.9220963
2022-02-22,88.0492203
2022-02-23,87.4756836
2022-02-24,87.5307608
2022-02-25,86.4228492
2022-02-26,86.0637882
2022-02-27,86.8873148
2022-02-28,86.9312867
2022-03-01,86.5990826
2022-03-02,86.8005172
2022-03-03,84.629057
2022-03-04,85.6698979
2022-03-05,86.3072365
2022-03-06,87.1494107
2022-03-07,88.2868418
2022-03-08,85.5933452
2022-03-09,85.0646503
2022-03-10,86.3085707
2022-03-11,83.4823415
2022-03-12,82.90536
2022-03-13,82.010406
2022-03-14,80.8295867
2022-03-15,81.3964104
2022-03-16,79.9299811
2022-03-17,78.1324245
