date,fb_stay_put_custom,mask_wearing_final,oxford_stringency_index
2019-05-13,29.28651426913655,NA,NA
2019-05-14,29.32096028908692,NA,NA
2019-05-15,29.37103294260324,NA,NA
2019-05-16,29.416666408372052,NA,NA
2019-05-17,29.41483238016064,NA,NA
2019-05-18,29.374327896742425,NA,NA
2019-05-19,29.295602218366515,NA,NA
2019-05-20,29.196623356375742,NA,NA
2019-05-21,29.10902490598431,NA,NA
2019-05-22,29.025317528089552,NA,NA
2019-05-23,28.90364894291553,NA,NA
2019-05-24,28.908042992719068,NA,NA
2019-05-25,28.931626737680165,NA,NA
2019-05-26,28.991162629602854,NA,NA
2019-05-27,29.07548737468304,NA,NA
2019-05-28,29.112603074620004,NA,NA
2019-05-29,29.139885643115033,NA,NA
2019-05-30,29.250501867942862,NA,NA
2019-05-31,29.126245409679605,NA,NA
