date,polygon_id,polygon_name,fb_movement,fb_stay_put
2020-09-05,53033,King,-2.603,20.617
2020-09-06,53033,King,2.226,22.285
2020-09-07,53033,King,-19.472,23.624000000000002
2020-09-08,53033,King,-13.531,20.753
2020-09-09,53033,King,-16.89,20.959000000000003
2020-09-10,53033,King,-18.382,20.565
2020-09-11,53033,King,-19.852000000000004,20.932000000000002
2020-09-12,53033,King,-19.86,25.608000000000004
2020-09-13,53033,King,-22.152,28.789000000000005
2020-09-14,53033,King,-23.639,24.041
2020-09-15,53033,King,-22.182,23.507
2020-09-16,53033,King,-21.497,22.753
2020-09-17,53033,King,-23.122999999999998,22.232
2020-09-18,53033,King,-20.630000000000003,21.584999999999997
2020-09-19,53033,King,-11.277,22.084
2020-09-20,53033,King,-12.062000000000001,24.434000000000005
2020-09-21,53033,King,-19.187,21.836000000000002
2020-09-22,53033,King,-17.143000000000004,21.236
2020-09-23,53033,King,-20.39,23.913
2020-09-24,53033,King,-22.524,22.581
2020-09-25,53033,King,-20.641000000000002,21.539000000000005
2020-09-26,53033,King,-11.332,22.194000000000003
2020-09-27,53033,King,-9.844,24.349999999999998
2020-09-28,53033,King,-17.188,21.609
2020-09-29,53033,King,-15.678,21.57
2020-09-30,53033,King,-16.121000000000002,21.147
2020-10-01,53033,King,-17.933000000000003,20.436
2020-10-02,53033,King,-15.939999999999998,19.332
2020-10-03,53033,King,-7.2059999999999995,21.297
2020-10-04,53033,King,-14.111,26.011
2020-10-05,53033,King,-18.281000000000002,22.022000000000002
2020-10-06,53033,King,-17.007,21.611
2020-10-07,53033,King,-18.523999999999997,21.471999999999998
2020-10-08,53033,King,-20.685000000000002,21.451
2020-10-09,53033,King,-17.236,19.645000000000003
2020-10-10,53033,King,-13.372,23.024000000000004
2020-10-11,53033,King,-19.959,28.207000000000004
2020-10-12,53033,King,-21.557000000000002,22.832
2020-10-13,53033,King,-20.061999999999998,22.8
2020-10-14,53033,King,-17.657999999999998,21.511
2020-10-15,53033,King,-18.643,21.024
2020-10-16,53033,King,-17.606,20.616
2020-10-17,53033,King,-9.431000000000001,21.854000000000003
2020-10-18,53033,King,-15.263000000000002,26.377
2020-10-19,53033,King,-21.371000000000002,23.768000000000004
2020-10-20,53033,King,-18.868,21.851000000000003
2020-10-21,53033,King,-20.373,22.552000000000007
2020-10-22,53033,King,-20.626,21.755
2020-10-23,53033,King,-21.723,22.072000000000003
2020-10-24,53033,King,-9.350999999999999,22.212
2020-10-25,53033,King,-12.604000000000001,25.574
2020-10-26,53033,King,-20.868000000000002,23.096000000000004
2020-10-27,53033,King,-19.059,22.404
2020-10-28,53033,King,-19.587,21.6
2020-10-29,53033,King,-20.704000000000004,21.663
2020-10-30,53033,King,-17.426000000000005,19.78
2020-10-31,53033,King,-6.495000000000001,20.051
2020-11-01,53033,King,-10.379,24.387000000000004
2020-11-02,53033,King,-19.869999999999997,22.142999999999997
2020-11-03,53033,King,-21.984,24.41
2020-11-04,53033,King,-24.357,23.654000000000003
2020-11-05,53033,King,-25.463,24.296
2020-11-06,53033,King,-22.316000000000006,21.427
2020-11-07,53033,King,-14.719000000000001,23.424000000000003
2020-11-08,53033,King,-15.753,26.234
2020-11-09,53033,King,-24.099,24.384000000000004
2020-11-10,53033,King,-21.762999999999998,24.328
2020-11-11,53033,King,-21.204,22.959
2020-11-12,53033,King,-24.217,23.169
2020-11-13,53033,King,-21.686,21.876
2020-11-14,53033,King,-17.327,24.723000000000003
2020-11-15,53033,King,-21.276999999999997,28.155
2020-11-16,53033,King,-25.743000000000006,25.869999999999997
2020-11-17,53033,King,-24.951,25.415000000000003
2020-11-18,53033,King,-25.385,25.954000000000004
2020-11-19,53033,King,-26.876,24.97
2020-11-20,53033,King,-24.352,23.385
2020-11-21,53033,King,-15.078000000000005,24.661
2020-11-22,53033,King,-25.402,30.889
2020-11-23,53033,King,-24.806000000000004,25.293000000000003
2020-11-24,53033,King,-21.264,24.575
2020-11-25,53033,King,-17.456000000000003,22.244000000000003
2020-11-26,53033,King,-46.86,32.476000000000006
2020-11-27,53033,King,-30.488000000000003,25.590000000000003
2020-11-28,53033,King,-23.571,27.985000000000003
2020-11-29,53033,King,-22.113,29.882
2020-11-30,53033,King,-24.772,25.305
2020-12-01,53033,King,-21.066,23.974
2020-12-02,53033,King,-21.215,23.946
2020-12-03,53033,King,-24.857000000000003,24.246000000000002
2020-12-04,53033,King,-20.977999999999998,21.925000000000004
2020-12-05,53033,King,-12.436,23.747
2020-12-06,53033,King,-21.201999999999998,29.222000000000005
2020-12-07,53033,King,-25.006,25.366
2020-12-08,53033,King,-25.09,26.398000000000003
2020-12-09,53033,King,-23.876,24.842000000000002
2020-12-10,53033,King,-25.795,24.766
2020-12-11,53033,King,-23.256,22.956
2020-12-12,53033,King,-13.823000000000002,24.631000000000004
2020-12-13,53033,King,-24.974,31.292
2020-12-14,53033,King,-24.616,25.236000000000004
2020-12-15,53033,King,-23.860999999999997,25.379
2020-12-16,53033,King,-22.489,24.999
2020-12-17,53033,King,-23.880000000000003,23.842
2020-12-18,53033,King,-20.563000000000002,22.722
2020-12-19,53033,King,-15.65,25.253000000000004
2020-12-20,53033,King,-18.193,28.453
2020-12-21,53033,King,-20.061999999999998,25.28
2020-12-22,53033,King,-13.893,22.33
2020-12-23,53033,King,-8.695000000000002,21.117
2020-12-24,53033,King,-19.108000000000004,22.12
2020-12-25,53033,King,-51.925,36.82800000000001
2020-12-26,53033,King,-26.835000000000004,28.714000000000002
2020-12-27,53033,King,-25.363000000000003,31.820000000000004
2020-12-28,53033,King,-19.797,24.157999999999998
2020-12-29,53033,King,-20.831,25.109
2020-12-30,53033,King,-21.487000000000002,24.975
2020-12-31,53033,King,-21.089,22.325000000000003
2021-01-01,53033,King,-43.989000000000004,32.562000000000005
2021-01-02,53033,King,-28.837000000000003,30.297
2021-01-03,53033,King,-27.200000000000003,32.075
