fips,date,completely_home_prop,median_home_dwell_time
53033,2019-01-28,0.3405598130220399,677.184466994876
53033,2019-01-29,0.3371175939814863,675.3741585451622
53033,2019-01-30,0.33553234700276885,675.0088406670685
53033,2019-01-31,0.3318276692160857,672.27677315652
53033,2019-02-01,0.3315220437766993,670.2707726313674
53033,2019-02-02,0.3325172874602945,666.2216639871383
53033,2019-02-03,0.3386296839953568,662.1466184303085
53033,2019-02-04,0.3683520310228752,693.271959798995
53033,2019-02-05,0.38753745946021145,708.9143546441496
53033,2019-02-06,0.391169977923994,706.5324688379574
53033,2019-02-07,0.3968000272943272,701.3768596702855
53033,2019-02-08,0.4046947075887621,716.0298522464569
53033,2019-02-09,0.4304892275531063,741.7207759573827
53033,2019-02-10,0.4431143467249353,749.6848929540657
53033,2019-02-11,0.4431339137669149,755.20391959799
53033,2019-02-12,0.4500695084457497,763.0068327974277
53033,2019-02-13,0.45826356355042536,771.0768766958095
53033,2019-02-14,0.46058803438457896,780.2669078484574
53033,2019-02-15,0.4533236635893625,767.3128328811175
53033,2019-02-16,0.428438694897744,740.9883417085427
53033,2019-02-17,0.4093693482756177,723.510351758794
53033,2019-02-18,0.3839732768811404,691.3587295205548
53033,2019-02-19,0.3603331539139867,665.3082026537998
53033,2019-02-20,0.3478132131325168,654.9789907519099
53033,2019-02-21,0.3434561577215887,648.3278375389565
53033,2019-02-22,0.34206908972765177,645.7981300894742
53033,2019-02-23,0.3389614047827599,643.2598512263771
53033,2019-02-24,0.3384172684816108,651.2533172496984
53033,2019-02-25,0.33106363573494696,646.3083727007739
53033,2019-02-26,0.3282536496438598,647.1429145728644
53033,2019-02-27,0.3260173345780112,649.1568686564165
53033,2019-02-28,0.3201273964506975,650.726788585209
53033,2019-03-01,0.3183870146580517,649.4992463069038
53033,2019-03-02,0.31727710154076993,650.2927049839228
53033,2019-03-03,0.3168921311000668,648.7498995176849
53033,2019-03-04,0.3174909211657459,647.7755225080385
53033,2019-03-05,0.3175271851812877,647.492865755627
53033,2019-03-06,0.3209409865477928,644.90625
53033,2019-03-07,0.32930171848359946,643.836615755627
53033,2019-03-08,0.3307860858003663,644.5173314578519
53033,2019-03-09,0.33139418415808675,645.354064101276
53033,2019-03-10,0.33180238911495247,640.7215189873418
53033,2019-03-11,0.33191355374349096,641.6512959614225
53033,2019-03-12,0.33460592261572364,640.8928069117943
53033,2019-03-13,0.33289724628602524,640.2330721318064
53033,2019-03-14,0.3286106678529546,639.3157524613221
53033,2019-03-15,0.3267388097432914,640.43168575447055
53033,2019-03-16,0.3239222680462292,641.0762584145484
53033,2019-03-17,0.32092024366203015,642.9633239549839
53033,2019-03-18,0.31952162060444367,641.804561897106
53033,2019-03-19,0.3153998016869428,642.7200562700965
53033,2019-03-20,0.3139209712090331,638.4292604501608
53033,2019-03-21,0.31243640634530845,630.5765675241157
53033,2019-03-22,0.3105733734246995,629.4104702572347
53033,2019-03-23,0.31144880670505976,627.1855908360128
53033,2019-03-24,0.3122426440033239,629.9075562700965
53033,2019-03-25,0.3107599943145523,629.6210811897106
53033,2019-03-26,0.3107173813095493,628.4601085209003
53033,2019-03-27,0.3085332884533957,635.381330385852
53033,2019-03-28,0.3065789708999752,642.9947749196142
53033,2019-03-29,0.305146073576426,640.9805064308682
53033,2019-03-30,0.3031705101005105,640.750803858521
53033,2019-03-31,0.2999099376702415,638.2377411575562
53033,2019-04-01,0.3001666086906954,635.640172829582
53033,2019-04-02,0.3002091733905104,634.5793810289389
53033,2019-04-03,0.3043804040186887,630.0415996784566
53033,2019-04-04,0.3065363642395754,631.1761454983923
53033,2019-04-05,0.3088676371147297,632.415192926045
53033,2019-04-06,0.3123788035038056,630.4993469305737
53033,2019-04-07,0.31443340621776816,625.0076358886768
53033,2019-04-08,0.3173311842340561,620.8931980307445
53033,2019-04-09,0.3184266407937741,617.5239626243343
53033,2019-04-10,0.31921732350667353,617.8507987541445
53033,2019-04-11,0.32290051148454363,616.8292976991862
53033,2019-04-12,0.32425201310177126,616.0147694162564
53033,2019-04-13,0.3245012861552196,619.0710481358658
53033,2019-04-14,0.3271395715614636,628.0910552763819
53033,2019-04-15,0.3243219825190553,637.0975977485174
53033,2019-04-16,0.32352614122027035,647.9920595034677
53033,2019-04-17,0.32068781901204263,656.6697155493015
53033,2019-04-18,0.31648948954409456,664.4093878781787
53033,2019-04-19,0.3144470078379868,672.1142828424968
53033,2019-04-20,0.31177018332380974,675.5229145728644
53033,2019-04-21,0.3089418992796592,675.5472361809045
53033,2019-04-22,0.30798164273630124,670.1196984924624
53033,2019-04-23,0.30456071871975887,662.5058799879384
53033,2019-04-24,0.2999597524791308,654.6201246481705
53033,2019-04-25,0.2958986119373003,644.6815120136724
53033,2019-04-26,0.29259490972041685,633.413331992761
53033,2019-04-27,0.28915236603073774,625.0675716440422
53033,2019-04-28,0.28358122298880845,617.5019607843137
53033,2019-04-29,0.2798563219817822,618.8629599839131
53033,2019-04-30,0.2776487030998021,617.6069166582889
53033,2019-05-01,0.2777175058489206,616.9064039408867
53033,2019-05-02,0.2794028073942868,622.0031165175429
53033,2019-05-03,0.2809168217864151,626.1358061921994
53033,2019-05-04,0.2816305292634019,628.1991959798995
53033,2019-05-05,0.2846536247089803,631.5760225103005
53033,2019-05-06,0.2856225693268511,634.7960004019696
53033,2019-05-07,0.2892104392998356,638.8312732388705
53033,2019-05-08,0.2916662985101683,642.6721262057878
53033,2019-05-09,0.2923870274805516,639.7843866171004
53033,2019-05-10,0.2915849878795037,638.7993368167203
53033,2019-05-11,0.2909078502083828,636.9683448899608
53033,2019-05-12,0.29084422555995,634.7785147221384
53033,2019-05-13,0.29348293981362816,633.1094362375641
53033,2019-05-14,0.2943830655585101,633.2884422110553
53033,2019-05-15,0.2946289515974607,633.8914572864321
53033,2019-05-16,0.294223978222123,638.7069052166047
53033,2019-05-17,0.2939962092760295,642.8033165829146
53033,2019-05-18,0.2944129359545254,645.9271283546085
53033,2019-05-19,0.2940385681637667,650.0951854457735
53033,2019-05-20,0.2933545578388294,653.0540812223562
53033,2019-05-21,0.29154775171923497,656.0773019702452
53033,2019-05-22,0.2891181541111471,657.2162461043531
53033,2019-05-23,0.2872954578827687,655.1639690358902
53033,2019-05-24,0.28786431774862925,654.1045646491052
53033,2019-05-25,0.28855341950189245,650.5001507992359
53033,2019-05-26,0.2855217672015852,635.8182366542676
53033,2019-05-27,0.29366214132507706,649.5532321302906
53033,2019-05-28,0.2931986138665117,648.3743842364532
53033,2019-05-29,0.2932856665457355,649.8551322006635
53033,2019-05-30,0.29319819003838166,652.3557856640193
53033,2019-05-31,0.29046241674421674,651.949839163651
53033,2019-06-01,0.29046319929654435,655.3968636911942
53033,2019-06-02,0.2932649029395333,668.6334941696823
53033,2019-06-03,0.28496418924664907,653.556136295105
53033,2019-06-04,0.2850003627186488,651.9491406171475
53033,2019-06-05,0.28640208890555124,651.3282741984119
53033,2019-06-06,0.287649666805793,650.3582914572864
53033,2019-06-07,0.2900023539390444,653.284824120603
53033,2019-06-08,0.2884814045874612,655.529648241206
53033,2019-06-09,0.2877853455800325,659.2099286503869
53033,2019-06-10,0.2862728460204027,659.628743718593
53033,2019-06-11,0.285904565825634,660.8497638428298
53033,2019-06-12,0.28429219825455915,659.4369975884244
53033,2019-06-13,0.2860192269750387,656.5480305466237
53033,2019-06-14,0.2841006688569173,654.4378014469453
53033,2019-06-15,0.28388046790757726,651.1190835091951
53033,2019-06-16,0.2827800527747468,646.5411599155694
53033,2019-06-17,0.2835573753959324,646.7801789124535
53033,2019-06-18,0.285257309567867,648.4209891435464
53033,2019-06-19,0.2863321144269943,649.5406655272947
53033,2019-06-20,0.2837726303296031,650.6471948522019
53033,2019-06-21,0.28489447116090444,652.4007038712921
53033,2019-06-22,0.28386872526453155,653.0153846153846
53033,2019-06-23,0.2847665923635202,653.0940170940171
53033,2019-06-24,0.2855228979619688,654.8935036202736
53033,2019-06-25,0.2858762407973261,655.361963190184
53033,2019-06-26,0.2877631319546294,656.1714774213015
53033,2019-06-27,0.2901346858084192,657.9226513779923
53033,2019-06-28,0.2919605360874131,658.4380971537765
53033,2019-06-29,0.2928215252726189,656.7978680611424
53033,2019-06-30,0.29071331440359327,650.1418946098149
53033,2019-07-01,0.29305423097234184,646.0949220713927
53033,2019-07-02,0.29529347461981537,645.4307259199678
53033,2019-07-03,0.2936756466533877,640.6295998391313
53033,2019-07-04,0.29781197948340515,648.7154635029158
53033,2019-07-05,0.29982370768278405,645.9985921158487
53033,2019-07-06,0.3014983373305069,640.3079553454692
53033,2019-07-07,0.3066971800705096,645.9916524187871
53033,2019-07-08,0.3054284909447996,649.9323141908881
53033,2019-07-09,0.3048097888573636,651.4226513779923
53033,2019-07-10,0.30779497675312695,657.5585395292698
53033,2019-07-11,0.3044600103629079,651.7154496077248
53033,2019-07-12,0.3001832366116881,654.920245398773
53033,2019-07-13,0.29784327777154784,663.772224456959
53033,2019-07-14,0.29530195808163073,663.0537958773253
53033,2019-07-15,0.29464329374136294,664.1352438411262
53033,2019-07-16,0.29335295539301304,662.4466673368855
53033,2019-07-17,0.2930244199985995,662.9455112094099
53033,2019-07-18,0.2935653569442793,664.5415158825895
53033,2019-07-19,0.2965712795938969,665.1636509851227
53033,2019-07-20,0.29803040260386426,660.0469441093687
53033,2019-07-21,0.2961949704414341,658.7146160032167
53033,2019-07-22,0.2970816291977795,658.4106765859053
53033,2019-07-23,0.2958480665357263,660.3425497687513
53033,2019-07-24,0.29289311232902165,659.9813995576111
53033,2019-07-25,0.29066054367092986,658.8783430524834
53033,2019-07-26,0.287902040678417,658.5
53033,2019-07-27,0.28592929935158445,662.223104765735
53033,2019-07-28,0.28420255146514944,664.7249874308698
53033,2019-07-29,0.28150043450455803,665.7073906485671
53033,2019-07-30,0.2813196563435855,667.094821518351
53033,2019-07-31,0.2800316377201441,667.9567621920563
53033,2019-08-01,0.2799042877456325,667.1882542236525
53033,2019-08-02,0.28194477855809646,668.5917731067083
53033,2019-08-03,0.2844133035834315,669.0971635485818
53033,2019-08-04,0.286259879967661,667.6844699255684
53033,2019-08-05,0.2904561119653733,665.5894186280426
53033,2019-08-06,0.29350460792802263,665.4677127338564
53033,2019-08-07,0.2974694949799189,666.1154813399054
53033,2019-08-08,0.2997446528637623,666.8848088531187
53033,2019-08-09,0.2995583374973644,664.9083408793641
53033,2019-08-10,0.29985815797999765,664.2434091366472
53033,2019-08-11,0.2991414761131789,664.8356646875314
53033,2019-08-12,0.2960334726384568,664.176310757774
53033,2019-08-13,0.29384714423342173,661.6493911643353
53033,2019-08-14,0.29015550681210867,657.3683839806802
53033,2019-08-15,0.28697846831074314,654.9917496730053
53033,2019-08-16,0.286578862478067,653.2079476861167
53033,2019-08-17,0.2845368280159748,651.0684104627767
53033,2019-08-18,0.2849573740502808,646.9398390342052
53033,2019-08-19,0.2835684724536064,646.6652248264762
53033,2019-08-20,0.28251926077228773,645.0203219315896
53033,2019-08-21,0.2846781955959824,649.0659020022135
53033,2019-08-22,0.28461271145065303,651.3729376257545
53033,2019-08-23,0.28384975612910435,654.55
53033,2019-08-24,0.2833841373110655,656.0391308721456
53033,2019-08-25,0.2829460597882383,660.3299134982901
53033,2019-08-26,0.2846086530151516,662.3402072226135
53033,2019-08-27,0.2834375526059746,665.701337893572
53033,2019-08-28,0.282383644846924,664.5632669483001
53033,2019-08-29,0.2821716913711731,664.4365318849326
53033,2019-08-30,0.2803644393912957,665.2226916113458
53033,2019-08-31,0.2773137799892924,662.4698249849125
53033,2019-09-01,0.27474819157512304,653.4189297927983
53033,2019-09-02,0.2813234090963593,662.7799456904355
53033,2019-09-03,0.2835561742073296,660.482502011263
53033,2019-09-04,0.28309413132970945,658.242735042735
53033,2019-09-05,0.2831006724576646,657.2275744167337
53033,2019-09-06,0.2843757802218898,653.928600160901
53033,2019-09-07,0.29117576448670873,661.7211664152841
53033,2019-09-08,0.3004613154323342,678.5829479187613
53033,2019-09-09,0.29423779672837247,667.8677860446411
53033,2019-09-10,0.2930498946497589,667.9117233058516
53033,2019-09-11,0.29297432468852014,668.2601307189542
53033,2019-09-12,0.2936840341835356,666.4858234466117
53033,2019-09-13,0.29470330612484547,666.5053785060823
53033,2019-09-14,0.2934493000877881,666.5603699607922
53033,2019-09-15,0.2939090511625315,668.7611340102543
53033,2019-09-16,0.2926032438110162,668.1661807580175
53033,2019-09-17,0.2943898434200876,669.222780737911
53033,2019-09-18,0.2956763602375594,670.1316979993968
53033,2019-09-19,0.29646231246570875,670.8738313059214
53033,2019-09-20,0.2958807502351334,670.1558102131081
53033,2019-09-21,0.29442543560605994,669.2601527945316
53033,2019-09-22,0.2932293321609659,667.1289965815403
53033,2019-09-23,0.2948666327585917,669.1518350930115
53033,2019-09-24,0.29301765815982045,667.2799678197908
53033,2019-09-25,0.2902436021608534,667.2256864125516
53033,2019-09-26,0.2886480710305234,668.5042245021123
53033,2019-09-27,0.28865429158083794,671.1044265593562
53033,2019-09-28,0.28938408766986484,673.43445014589
53033,2019-09-29,0.2844429339892251,675.7603621730382
53033,2019-09-30,0.2789398510059171,675.2054325955735
53033,2019-10-01,0.2782290980560176,676.332629249648
53033,2019-10-02,0.27877218804851384,675.6229128947898
53033,2019-10-03,0.27567643986125867,678.5421904857689
53033,2019-10-04,0.2711792396175748,679.0342920353983
53033,2019-10-05,0.2677691424534028,669.3594771241831
