response_date,percent_mc
2020-11-24,0.8984525275334605
2020-11-25,0.8986721463800355
2020-11-26,0.8983753003689038
2020-11-27,0.9008103653039689
2020-11-28,0.8900960795896831
2020-11-29,0.8922282757517299
2020-11-30,0.8956769453874499
2020-12-01,0.9031420366871276
2020-12-02,0.9022418786441124
2020-12-03,0.9024659682799668
2020-12-04,0.8960108849018065
2020-12-05,0.9014746375670516
2020-12-06,0.8951224698342869
2020-12-07,0.8933832019079686
2020-12-08,0.8904293888037795
2020-12-09,0.896479961725518
2020-12-10,0.8961404319742237
2020-12-11,0.9076947106356285
2020-12-12,0.9178559579703832
2020-12-13,0.9225328287186824
2020-12-14,0.9266865697145288
2020-12-15,0.931853708340314
2020-12-16,0.929374563990004
2020-12-17,0.9288461409263696
2020-12-18,0.9238371332333128
2020-12-19,0.925781257657276
