date,fb_stay_put_custom,mask_wearing_final,oxford_stringency_index
2019-05-12,29.084422555994998,NA,NA
2019-05-13,29.348293981362815,NA,NA
2019-05-14,29.438306555851014,NA,NA
2019-05-15,29.462895159746072,NA,NA
2019-05-16,29.422397822212297,NA,NA
2019-05-17,29.39962092760295,NA,NA
2019-05-18,29.44129359545254,NA,NA
2019-05-19,29.403856816376674,NA,NA
2019-05-20,29.335455783882942,NA,NA
2019-05-21,29.154775171923497,NA,NA
2019-05-22,28.91181541111471,NA,NA
2019-05-23,28.729545788276873,NA,NA
2019-05-24,28.786431774862926,NA,NA
2019-05-25,28.855341950189246,NA,NA
2019-05-26,28.552176720158517,NA,NA
2019-05-27,29.366214132507707,NA,NA
2019-05-28,29.31986138665117,NA,NA
2019-05-29,29.32856665457355,NA,NA
2019-05-30,29.319819003838166,NA,NA
